"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",-8.0304065517463,-5.30293780052739,-3.75911128773457,-3.21155201824801,-2.09601785462942,-2.05750573076519,-2.26180686727908,-2.0648697280772,-1.44837197454704,-1.38271633670634,-0.832212329262546
"2",-1.60595231174147,-0.540123717935394,-0.238500890360444,-0.185127124706926,-0.145859962643537,-0.129298377774959,-0.302942132711125,-0.0369893676135977,-0.243197543207535,-0.053701567472898,-0.0908264306107295
"3",-1.20917258880891,-0.12835457792891,-0.0575794290112874,-0.0856424172420592,-0.024346805712911,-0.00677360334825217,-0.0124407864203423,-0.00239465048199428,-0.00296604771206752,-0.00140463052927196,-0.00342420496955569
"4",-0.0762001827349252,-0.00766294459412862,-0.0065165683449024,-0.00916346307461282,-0.00289196797414384,-0.000261153220081312,-0.00250586197460265,-0.00182357836489686,-0.00664481486516095,-0.00119552669712562,-0.000310809299525161
"5",-0.00926048203582468,-0.000317258727236691,-0.00245573101916037,-4.35575100585339e-05,-0.00546931764226741,-0.000538419962688508,-0.00194923297767922,-0.000121158242509622,-0.00013210149399292,-0.000653284703597734,-0.00174916755167978
"6",-0.258173438398647,-0.000518902090557205,-0.00152419669904127,-0.00937689730807101,-0.00138445735717703,-0.000925746534901961,-0.00149583721190112,-0.000742733777502025,-0.000500299848589592,-0.00196673490425034,-0.00129861240701068
"7",-0.0711268764676774,-0.00610069499833124,-0.0107408878371324,-0.00551342100758987,-0.0028099270049136,-0.000861238217508031,-0.000372236451626406,-0.000465558536195942,-0.00782895923529559,-0.00388501547223434,-0.0023218967858643
"8",-0.0305457314356651,-0.000253222539651432,-0.00108595807949641,-0.00119570531056752,-0.00326148835672662,-0.000494438121881302,-0.00202405716092748,-0.0020222159612139,-0.00765092265908365,-0.00244133249883127,-0.00423328031403507
"9",-0.00347719723584987,-0.00826554387660572,-0.00423375497786545,-0.000550637611478066,-0.0254204391879774,-0.00189512908121401,-0.00131609357991351,-0.00172563221533863,-0.0024272096032302,-0.00255167520361361,-0.00396737345363256
"10",-1.31040929549187e-05,-0.0148852129558424,-0.053150997073848,-0.00272308314576541,-0.00238875849020737,-0.00329735617677258,-0.00230242012793234,-0.00212034183133305,-0.0140664628564554,-0.00436731366267367,-0.00418502782418173
"11",-0.00102370571221115,-0.0240995255142263,-0.0143935689657301,-0.019631579946596,-0.00176061330864492,-0.00626569497896021,-0.00299196461410602,-0.00309318582445854,-0.00269978965235396,-0.00263897688286114,-0.00300593091498946
