"","Generation","Najlepszy_wynik","Średnia","Mediana"
"1",1,-11.7636300632808,-20.1092108509374,-20.8171319622852
"2",2,-9.60269561381757,-18.8586598205894,-19.7568814658832
"3",3,-6.55402572669029,-17.0994910508562,-18.1026843444222
"4",4,-4.92686435064637,-15.0108890983281,-15.9341367356918
"5",5,-4.18653125720204,-12.6017473437927,-13.2605705843678
"6",6,-3.78672740858291,-10.3096461431214,-10.4442604773641
"7",7,-3.11291811317097,-8.28430471821388,-8.40628653327399
"8",8,-2.59236202220004,-6.49890578808561,-6.48180292944046
"9",9,-2.07950047580549,-5.45106996537521,-5.47652791723143
"10",10,-1.43067604205807,-4.36418482940736,-4.2527081503743
"11",11,-1.04571884462318,-3.66721203109974,-3.60106481682472
"12",12,-0.793577842372175,-3.16573869266551,-3.13316866044947
"13",13,-0.675059677561112,-2.78386907849977,-2.74744317057914
"14",14,-0.569876880414067,-2.33938090598255,-2.27562292913067
"15",15,-0.324206462136775,-2.00246858836288,-1.80863837644852
"16",16,-0.290185433349814,-1.46650971995844,-1.47927104087112
"17",17,-0.200715174718549,-1.25382499163018,-1.05394797444158
"18",18,-0.177154716448851,-0.922134726606854,-0.789798482433258
"19",19,-0.155035938884398,-0.854526849291214,-0.556719969095134
"20",20,-0.147152680098172,-0.692285802884666,-0.401736350555892
"21",21,-0.136360197214341,-0.474877906290653,-0.319176693974184
"22",22,-0.110487456959632,-0.38866672813265,-0.24313283381077
"23",23,-0.0975478024494965,-0.312770610068964,-0.194847247834797
"24",24,-0.0618075203144009,-0.309999164365643,-0.164280976857544
"25",25,-0.0605911721906171,-0.367183410303761,-0.142922600861976
"26",26,-0.0581749764339314,-0.351247686586937,-0.123406539307876
"27",27,-0.0572714186361182,-0.265333007572298,-0.110809613517125
"28",28,-0.0551577410609855,-0.226111132114023,-0.0915607060400752
"29",29,-0.0543708497833421,-0.193479395150315,-0.0843607739866538
"30",30,-0.0536403440965955,-0.325868824405169,-0.0781992753900411
"31",31,-0.0535238213039417,-0.179913700611066,-0.0712973027464784
"32",32,-0.0521367575093262,-0.16752131849054,-0.0642890101634684
"33",33,-0.0516562305155187,-0.282083210903856,-0.0609327324568955
"34",34,-0.0509456693444413,-0.361253788938579,-0.0585573291347103
"35",35,-0.0509008906826327,-0.277840725247822,-0.0561589643120362
"36",36,-0.050777582793728,-0.547176742418827,-0.0543241039229636
"37",37,-0.0505987971224126,-0.238555518276458,-0.05329540293655
"38",38,-0.0505489192167346,-0.1934433826886,-0.0526923769066904
"39",39,-0.0505282427245277,-0.181229547729468,-0.0522206206353376
"40",40,-0.0505225707315262,-0.240328731291692,-0.0517446633654989
"41",41,-0.0505213833722642,-0.251045400059558,-0.0514940770595869
"42",42,-0.0505156194307759,-0.30793208302115,-0.0512499655359374
"43",43,-0.0504381731801889,-0.37593638371904,-0.0510851577259315
"44",44,-0.0504302008246096,-0.25401959965421,-0.0510207896393952
"45",45,-0.0504278795078715,-0.245806708262766,-0.050948980686638
"46",46,-0.0504264958822088,-0.245647546840825,-0.0508884477875409
"47",47,-0.0504219137689166,-0.283094581640121,-0.0507904187300722
"48",48,-0.0504205177953672,-0.272352073333562,-0.0506691423360905
"49",49,-0.0504201660247777,-0.162864283514384,-0.0506155267355082
"50",50,-0.050419339520117,-0.221305015870591,-0.0505781859728538
"51",51,-0.0504188801625766,-0.321864048908158,-0.0505543798062067
"52",52,-0.0504187828519459,-0.277607969240916,-0.0505221329927844
"53",53,-0.0504172373288618,-0.204794686596688,-0.05050142486305
"54",54,-0.0504172224177438,-0.183604684937825,-0.0504871273834468
"55",55,-0.0504164570608541,-0.19350887598849,-0.0504797864755098
"56",56,-0.0504163007578089,-0.21505746507671,-0.0504716994959542
"57",57,-0.0504140733394358,-0.388760840035367,-0.0504624176775957
"58",58,-0.0504140613531387,-0.245547532656728,-0.050453316382562
"59",59,-0.0504094138855674,-0.243292006549609,-0.0504463207497897
"60",60,-0.0504093642050172,-0.113111999803727,-0.0504408426775903
"61",61,-0.0504092585455442,-0.240555630471712,-0.0504375552057747
"62",62,-0.0504092585455442,-0.24706915766336,-0.0504339050677434
"63",63,-0.0504092111878386,-0.216961859838204,-0.0504308071310273
"64",64,-0.050409016142402,-0.227922518741511,-0.0504277732409033
"65",65,-0.0504089863207621,-0.224181970479277,-0.0504259689425455
"66",66,-0.0504089589658708,-0.123312921221958,-0.050422859735245
"67",67,-0.0504089570159923,-0.25286596566565,-0.0504212126331279
"68",68,-0.0504089565735025,-0.21138023721174,-0.0504180345589321
"69",69,-0.0504089442987965,-0.22777465411571,-0.0504153447154756
"70",70,-0.050408939140409,-0.246353020863744,-0.0504130121723696
"71",71,-0.0504089344542287,-0.329815713249189,-0.0504114526245717
"72",72,-0.0504083725280147,-0.162992757373094,-0.0504105798973139
"73",73,-0.0504083723049501,-0.289993119072874,-0.0504099546957759
"74",74,-0.0504079753904698,-0.206616233141084,-0.0504095909005406
"75",75,-0.0504076944981755,-0.249082508958796,-0.0504092986555301
"76",76,-0.0504073632532357,-0.321072183154906,-0.0504090516506613
"77",77,-0.0504073632460496,-0.412880474470495,-0.0504087395305657
"78",78,-0.0504073632406513,-0.222624427159014,-0.0504083091751756
"79",79,-0.0504073630116164,-0.339502255198759,-0.0504081255961779
"80",80,-0.0504073617363044,-0.119998963625757,-0.0504080188520335
"81",81,-0.0504073599093815,-0.299480582189289,-0.0504078887280066
"82",82,-0.0504073599083252,-0.272660658540768,-0.050407757572729
"83",83,-0.0504073598848247,-0.119911015012292,-0.0504076364989658
