"","Generation","Najlepszy_wynik","Średnia","Mediana"
"1",1,-726.408329378298,-174753.086201347,-168007.525776904
"2",2,-671.061665849384,-143816.253839466,-139891.277230729
"3",3,-302.038852564683,-120791.952083034,-113283.28976111
"4",4,-270.339092074279,-101049.777919525,-91046.4779042495
"5",5,-270.339092074279,-83793.8663772326,-71119.959353993
"6",6,-270.339092074279,-69226.7188070548,-58333.4147425702
"7",7,-270.339092074279,-56425.0886254637,-47747.9732557221
"8",8,-260.249392869802,-46250.8348361331,-40090.1874138219
"9",9,-237.849223723072,-37550.3555509213,-32552.4712053306
"10",10,-236.103215294152,-30631.3118230193,-26402.1682440091
"11",11,-193.356098547727,-25451.837919083,-22326.1505026315
"12",12,-193.356098547727,-20981.3627658154,-18296.5501933859
"13",13,-154.827756091944,-17264.2388812365,-14876.3099193631
"14",14,-154.827756091944,-14302.2829567468,-12420.1465703965
"15",15,-102.029287104702,-11797.7043704836,-10210.157768041
"16",16,-92.6354159388027,-9926.2247753175,-8285.69032038635
"17",17,-92.6354159388027,-8006.83079605832,-6815.62624707574
"18",18,-68.2223702667011,-6756.71333684252,-5524.20526306841
"19",19,-68.2223702667011,-5603.2724328797,-4631.17035691474
"20",20,-65.2315027071235,-4693.80966145934,-3840.09768375442
"21",21,-49.1885702143102,-3966.66219844112,-3194.53802908265
"22",22,-37.404186885581,-3256.48267321283,-2688.8385850906
"23",23,-33.0747047675281,-2795.02050649866,-2226.87494547486
"24",24,-30.6868010693542,-2278.03257627044,-1859.20718136984
"25",25,-28.7245327598567,-1805.65788043236,-1528.18935118114
"26",26,-27.433802666162,-1795.10013841122,-1275.12992140928
"27",27,-25.6611891299558,-1410.23941131183,-1048.63661524894
"28",28,-23.1643385937634,-1440.01639814949,-864.550949870398
"29",29,-20.6217738215711,-973.061027447999,-737.074002814788
"30",30,-20.6217738215711,-1238.45212597568,-624.692090986767
"31",31,-19.7021997711705,-759.463500550459,-521.018834701053
"32",32,-18.7543319776927,-645.889468027722,-425.736681023329
"33",33,-14.2050518637641,-434.060567650701,-365.919419049365
"34",34,-14.2050518637641,-614.448273093238,-305.115459951472
"35",35,-13.7182263849649,-408.489284942311,-258.974938712373
"36",36,-11.3700770834412,-505.618306491952,-218.860928109101
"37",37,-10.76349045323,-351.473712606694,-185.823563859265
"38",38,-10.234527376546,-246.379043124964,-156.118186445896
"39",39,-10.0660419018408,-358.361175154082,-134.348011931025
"40",40,-9.34655117196689,-274.007738426949,-117.666490465897
"41",41,-8.75281102638741,-349.966214657152,-101.502424594071
"42",42,-7.6219638488033,-177.547658777688,-88.1658477826951
"43",43,-6.70505820185688,-198.908901775188,-77.3244961290385
"44",44,-5.94156614163107,-385.290813065356,-68.1316274301635
"45",45,-5.58114106598248,-170.563349084302,-61.1861654147429
"46",46,-4.42828837378373,-128.46012786628,-54.3559769638462
"47",47,-4.33316016548634,-167.907523171826,-48.8981869535745
"48",48,-4.21276508883422,-178.264711958289,-44.2529455913462
"49",49,-4.21276508883422,-153.539691925172,-40.4583110026423
"50",50,-3.25255475662743,-94.9470256140227,-37.3488769480536
"51",51,-2.85852431554124,-309.856791928719,-34.3481340358069
"52",52,-2.80663345821441,-202.303745602054,-31.7871094822207
"53",53,-2.74767826621356,-274.554255625942,-29.9803023019322
"54",54,-2.64906816153742,-379.28660065409,-28.231884640868
"55",55,-2.39052529073718,-78.361727879381,-26.5188497802422
"56",56,-1.88956066972896,-192.034666063946,-25.0626152187436
"57",57,-1.76873314988978,-190.71481096448,-23.7842225136509
"58",58,-1.71196016010934,-247.373085902722,-22.719265160887
"59",59,-1.71196016010934,-181.378716601845,-21.6755943896714
"60",60,-1.67795898673847,-137.479187151404,-20.5833004689142
"61",61,-1.60858811716402,-104.128195045852,-19.8214925057336
"62",62,-1.59520569625783,-251.4732142623,-19.1549086375411
"63",63,-1.42876324850692,-207.171447258774,-18.358417638017
"64",64,-1.20606730081604,-225.048619500059,-17.5707362048745
"65",65,-1.20606730081604,-239.417265652769,-16.7594541122751
"66",66,-0.990534391298485,-164.245423039138,-15.9424208876315
"67",67,-0.981162135525151,-457.012219941961,-15.2168848058335
"68",68,-0.85730194814233,-302.566674456822,-14.7035051542888
"69",69,-0.795241864484585,-638.447725021485,-14.1464935654525
"70",70,-0.72514853321317,-180.65148584583,-13.6115450163363
"71",71,-0.707595624682683,-221.368516680519,-13.058692028549
"72",72,-0.55916184336894,-252.232106558292,-12.5324010795988
"73",73,-0.554859267773581,-181.665963980462,-11.9652223969715
"74",74,-0.554859267773581,-425.540954691556,-11.5363858047284
"75",75,-0.554859267773581,-209.299457672104,-11.1218476692382
"76",76,-0.551330100701114,-521.516181032912,-10.7620706928543
"77",77,-0.551330100701114,-288.396005266495,-10.4165962591304
"78",78,-0.462532812805698,-255.316009728457,-10.0577294345884
