"","Generation","Najlepszy_wynik","Średnia","Mediana"
"78",78,-7.76959434993237,-1585.45261300258,-18.7528651288244
"79",79,-7.76959434993237,-1257.34461934668,-18.5156051381668
"80",80,-7.76959434993237,-2802.43671541737,-20.9389027295055
"81",81,-7.76959434993237,-2728.3193427247,-21.8424422051523
"82",82,-7.3968965086791,-2498.33761884376,-22.4656895752092
"83",83,-7.3968965086791,-2242.9989051041,-23.4173998716764
"84",84,-5.89783888477835,-1772.30175265834,-24.2267000784919
"85",85,-5.89297181868793,-2618.45095718291,-25.2771188762433
"86",86,-5.82546628642717,-1802.7038569958,-26.4162475779929
"87",87,-5.82546628642717,-2128.17157474421,-25.4835150103766
"88",88,-5.82546628642717,-636.805937282212,-27.2358305194733
"89",89,-5.82546628642717,-2355.51233043592,-27.7513777344833
"90",90,-5.82546628642717,-2361.03269212761,-30.7121962082478
"91",91,-5.56455812977731,-2271.10966660115,-29.4528457002807
"92",92,-5.56455812977731,-1875.89352653091,-29.1021642605275
"93",93,-5.56455812977731,-1876.19446114998,-28.4715666851999
"94",94,-5.56455812977731,-1770.08040274256,-26.4252204285701
"95",95,-5.10256782532084,-2458.9498780552,-25.0431451539073
"96",96,-5.10256782532084,-1584.49754285478,-25.2065302742454
"97",97,-4.77914117012941,-540.138094180288,-23.6495797925779
"98",98,-3.68444617913146,-1300.16915648438,-22.352789796538
"99",99,-3.68444617913146,-3132.34302922286,-20.3651805519043
"100",100,-3.68444617913146,-2126.30795882359,-21.0576741905
"101",101,-3.68444617913146,-1959.62781559451,-19.8008973926005
"102",102,-3.3659345998863,-1482.15893129105,-20.2815495485932
"103",103,-3.3659345998863,-1910.5298938909,-20.0848452599298
"104",104,-3.3659345998863,-1538.54276329717,-20.1942674637639
"105",105,-3.3659345998863,-1683.62201523305,-20.6442395072678
"106",106,-3.3659345998863,-1335.0708666429,-20.2094712181449
"107",107,-3.3659345998863,-2059.1255451866,-20.0817126769652
"108",108,-3.32917492706448,-229.429185491346,-19.121372805899
"109",109,-3.32917492706448,-1242.4511516682,-16.9423256507815
"110",110,-3.3277131339477,-673.083889428998,-16.9204010389264
"111",111,-3.3277131339477,-1099.45439333698,-16.6016554244837
"112",112,-3.21439097976174,-3911.34559453776,-16.4357188004498
"113",113,-3.10681842114982,-2353.21683955888,-15.9853111096801
"114",114,-2.87192032509494,-1492.2534783193,-15.6855044806211
"115",115,-2.87192032509494,-2674.428885258,-15.634218225589
"116",116,-2.87192032509494,-500.302973381963,-16.228386311516
"117",117,-2.87192032509494,-3114.90009616406,-15.2872415374495
"118",118,-2.87192032509494,-2361.87488714011,-14.9526782773741
"119",119,-2.785650664264,-1431.59712026872,-15.0453759955613
"120",120,-2.785650664264,-1565.68456981789,-14.5472828280045
"121",121,-2.785650664264,-2487.91341010354,-13.7009577756803
"122",122,-2.7741040721237,-4165.64883181142,-16.1029790611498
"123",123,-2.7741040721237,-1909.1304154441,-17.4838009166873
"124",124,-2.7741040721237,-1980.59824900315,-17.5046342318208
"125",125,-2.76827660101856,-2209.82441890215,-16.3414548442484
"126",126,-2.76827660101856,-2642.31565137431,-17.5959573383555
