"","Generation","Najlepszy_wynik","Średnia","Mediana"
"1",1,-7147.10493530679,-191425.382606182,-184718.872236495
"2",2,-7147.10493530679,-161396.907828251,-154649.225319592
"3",3,-5440.2557556371,-136973.122134239,-125966.801464767
"4",4,-3660.03664288407,-114858.776832067,-107331.589688905
"5",5,-2364.44268436064,-95618.3116904624,-88728.5301022232
"6",6,-2308.05852074242,-80754.4780553806,-72275.093855877
"7",7,-2305.26280995042,-66566.2166131027,-57525.2395256092
"8",8,-2234.75743919158,-56483.2003705517,-49185.9605331368
"9",9,-1878.13195352509,-46655.7483748259,-40699.4733979287
"10",10,-1792.20124887531,-37614.2793325191,-34161.5760503678
"11",11,-1684.62027429751,-31128.9439466002,-28414.4883842379
"12",12,-1291.07558522266,-25291.2579181274,-21303.0089113298
"13",13,-1261.39264816883,-21203.0097527805,-16765.3742044012
"14",14,-1049.73409990493,-17207.8203199989,-13957.7069996937
"15",15,-762.628748752123,-14159.2791291165,-11276.2251635959
"16",16,-632.936358008015,-11814.0173972394,-9775.73228399058
"17",17,-533.728213670081,-9550.57335656264,-7838.24896517233
"18",18,-509.859423416343,-8174.03291966925,-6442.27371964115
"19",19,-421.214068682597,-6447.19697945775,-5352.30806728795
"20",20,-324.137608469549,-5390.8688628367,-4675.52153406018
"21",21,-158.747948163791,-5183.12811095483,-4061.24929362818
"22",22,-158.747948163791,-4099.05609539124,-3374.19163162867
"23",23,-158.747948163791,-3495.8051488494,-2924.53925647657
"24",24,-155.050039040579,-2849.55498914668,-2598.44907096778
"25",25,-119.618530012889,-2298.03405555039,-2301.93457327703
"26",26,-110.609912658454,-2007.25008443497,-1765.81195576573
"27",27,-106.900462758819,-1673.85537516044,-1492.38089228784
"28",28,-103.763829383356,-1819.919202556,-1303.23905301554
"29",29,-91.317730090136,-1223.89051087139,-1150.39691798555
"30",30,-89.3620386201955,-1041.62280014709,-974.17120907722
"31",31,-85.5146916573415,-887.135704548393,-835.889536500776
"32",32,-81.8799979490361,-1051.02105850638,-689.240299982346
"33",33,-81.8799979490361,-1226.16223879569,-614.86130315258
"34",34,-80.0980080820659,-583.048252896559,-543.873864520975
"35",35,-80.0980080820659,-503.294648897089,-479.371214084883
"36",36,-79.4885708899614,-438.491050857824,-431.45730452354
"37",37,-79.4885708899614,-682.91154617678,-383.551877000901
"38",38,-78.8815088109303,-810.178692799696,-335.82964964333
"39",39,-76.6530595714062,-509.089477458051,-301.029127618776
"40",40,-76.6530595714062,-287.173887264454,-268.075540990593
"41",41,-76.1876520187226,-249.131987996487,-234.903160448575
"42",42,-76.1876520187226,-221.07052313071,-214.710556836109
"43",43,-75.6890947422446,-649.710830334783,-193.513531845309
"44",44,-62.1247795999584,-182.124431497853,-173.573563100557
"45",45,-59.9092369797565,-516.180782129503,-162.035584471644
"46",46,-57.1831216202227,-154.849084023314,-150.693745816384
"47",47,-55.4609549088859,-672.636751701032,-144.31585962046
"48",48,-54.8713147649975,-172.99211752878,-137.93904056388
"49",49,-54.8713147649975,-128.880705972882,-130.100148876473
"50",50,-54.4307699921216,-235.782608914122,-124.688155429477
"51",51,-54.4307699921216,-338.76705214803,-117.202582897542
"52",52,-54.4307699921216,-111.952768694216,-113.287058578455
"53",53,-54.4307699921216,-398.979294767051,-108.141389061422
"54",54,-54.0905184405561,-468.681767733459,-101.637419196822
"55",55,-52.5256408254186,-96.6250092274883,-98.3032571315038
"56",56,-52.4536764063921,-219.057750680944,-95.1510533825639
"57",57,-52.19265029502,-350.674036973055,-91.7531323371517
"58",58,-52.19265029502,-298.059426050616,-86.7479801400445
"59",59,-51.87846992491,-211.758882246357,-83.9491357157745
"60",60,-51.87846992491,-151.118444769784,-81.8291259683211
"61",61,-51.4458728727248,-78.0007574470937,-79.1265743071231
"62",62,-51.3014217383514,-281.506774505251,-75.742137721484
"63",63,-51.2410336901106,-237.813005232477,-73.9791627627926
"64",64,-51.2410336901106,-71.5884637167803,-72.1578007587035
"65",65,-51.1146393727549,-109.182524132211,-70.6525510612306
"66",66,-49.7510410436782,-67.9832201450401,-68.358291806057
"67",67,-49.7510410436782,-338.896194939479,-66.3325304811035
"68",68,-49.7510410436782,-129.738163026779,-64.835814672239
"69",69,-49.0646817591091,-170.398301848821,-64.1576590217638
"70",70,-48.8685698926154,-204.309927859459,-63.0002190519959
"71",71,-47.8384050916968,-61.6234129367549,-62.0935946932101
"72",72,-47.8384050916968,-530.713743098311,-61.3913488609602
"73",73,-46.1228303657949,-286.94777561137,-60.3448811476431
"74",74,-46.1228303657949,-222.630263072498,-59.5788568997908
"75",75,-46.1228303657949,-58.8055265497603,-58.9439552453922
"76",76,-45.9805803095632,-204.072090530537,-58.2180872995371
"77",77,-45.9323137716954,-68.5391602597508,-57.7462357683225
"78",78,-45.8900996603868,-57.1656416052968,-57.2325375140101
"79",79,-45.8900996603868,-56.7544222412261,-56.9346262528073
"80",80,-45.8900996603868,-56.4154519867311,-56.5536940613898
"81",81,-45.8719091116308,-55.9284467559978,-56.0656699633495
"82",82,-45.5451990565521,-55.3352019131707,-55.586068626294
"83",83,-45.3619909025207,-54.9814039264064,-55.2790193359544
"84",84,-45.3553688646201,-836.948633628129,-54.64569692935
"85",85,-45.3553688646201,-74.0077904636866,-54.2442345216318
"86",86,-45.2474682011951,-492.529947808077,-53.7740668934246
"87",87,-45.1198884400877,-1150.15014974232,-53.4210161930406
"88",88,-45.1198884400877,-83.4811903855435,-53.1454896182541
"89",89,-45.1198884400877,-52.8497926821751,-52.6249382298516
"90",90,-45.1198884400877,-70.6308606972049,-52.3634342669549
"91",91,-45.0941199100796,-997.233071146057,-52.2084819826571
"92",92,-44.8377839288677,-139.120097303436,-51.8047776666586
"93",93,-44.8238853186047,-129.116986560963,-51.5714640746086
"94",94,-44.7845062521321,-472.236672413011,-51.2856082205018
"95",95,-44.6085930509785,-52.954756218564,-50.9337628422153
"96",96,-44.6085930509785,-50.7944948950957,-50.5567515368194
"97",97,-44.5686797041653,-137.558147699903,-50.2636336458332
"98",98,-44.5686797041653,-208.672058116401,-50.0779740178262
"99",99,-44.5686797041653,-211.05800414121,-49.7599392968442
"100",100,-44.5686797041653,-50.0037567581202,-49.4769362623756
"101",101,-44.3943970418499,-49.6761201518606,-49.3605363729487
"102",102,-44.3773762551062,-49.5283034322124,-49.0710820924704
"103",103,-44.3773762551062,-165.776755610473,-48.9000575090388
"104",104,-44.3773762551062,-397.147331413239,-48.5894075495574
"105",105,-44.3552774351575,-547.445267269267,-48.3953902507896
"106",106,-44.3552774351575,-295.873562536263,-48.1940458745847
"107",107,-44.351368708042,-490.877489129268,-48.0024170765634
"108",108,-44.2955562163761,-359.940262433522,-47.881496443123
"109",109,-44.2489311779755,-114.280795906238,-47.6671407687142
"110",110,-44.2489311779755,-378.47671342178,-47.6116769836537
"111",111,-44.2489311779755,-47.9508903918623,-47.5046353429397
"112",112,-44.2452421787424,-47.6488077358297,-47.3842485411799
"113",113,-44.2444652296608,-384.787716568458,-47.2008604058996
"114",114,-44.2438196460532,-60.2079628735531,-47.1276094830602
"115",115,-44.2420304650885,-433.662029918992,-47.0333892111236
"116",116,-44.2420304650885,-412.673605818709,-46.9677485651918
"117",117,-44.1479723057711,-47.1286539166673,-46.8797972278668
"118",118,-44.1404379058794,-240.598477617696,-46.8362374784096
"119",119,-44.1290654135271,-47.0363612423087,-46.7341779759021
"120",120,-44.1255551363997,-362.125838801444,-46.7081259215661
