"","Generation","Najlepszy_wynik","Średnia","Mediana"
"1",1,-1558.03230700114,-178422.320461033,-166174.576366757
"2",2,-384.62396804283,-96364.7787494168,-76840.4815250634
"3",3,-142.402526394936,-54015.6259834908,-40240.2311151791
"4",4,-79.1307571598707,-32518.7602131223,-22859.6377904744
"5",5,-63.9159381091769,-21188.4033106072,-13673.2751765752
"6",6,-53.6420810245134,-14912.864709132,-8341.51003704288
"7",7,-38.7470553322906,-10974.0918745614,-5880.6659296992
"8",8,-32.8934120187554,-8270.30654006693,-4128.15172742631
"9",9,-27.4623112461527,-6146.05959237463,-2988.15621265281
"10",10,-21.3950107058386,-4613.66560617311,-2062.54997406986
"11",11,-21.1780581627619,-4218.13048827708,-1579.4416164811
"12",12,-17.026211298362,-4931.31816721718,-1338.07406886094
"13",13,-15.5941381066048,-3940.08612203276,-1102.18310206933
"14",14,-15.5941381066048,-3719.81397625196,-981.643957304797
"15",15,-11.2613185948007,-3502.3784725775,-821.823267886345
"16",16,-10.9512162324471,-2741.96855935768,-705.813285742492
"17",17,-9.81713620910727,-2699.8518800274,-647.994083496711
"18",18,-9.64329543929642,-3003.50472932547,-611.957802193561
"19",19,-9.64329543929642,-3439.46505510109,-568.772451081893
"20",20,-9.64329543929642,-3296.55306864593,-532.792191978046
"21",21,-8.82546026481349,-2923.10950727159,-505.393935637249
"22",22,-8.82546026481349,-2243.53617648603,-480.191092056636
"23",23,-8.58860566208051,-2864.77643473767,-467.5966145033
"24",24,-8.58860566208051,-3389.75023531746,-449.104452640209
"25",25,-8.58234622599127,-2010.84670016288,-433.696224069928
"26",26,-8.58234622599127,-2310.58381950853,-420.278520677159
"27",27,-8.58234622599127,-2907.8741208888,-414.706641698893
"28",28,-8.58234622599127,-2340.92328554996,-410.186874401246
"29",29,-7.84087198437856,-2944.94916001122,-400.037726886944
"30",30,-7.80479364681713,-2026.87528928284,-387.695223114547
"31",31,-7.80479364681713,-2212.69907402127,-378.118601209293
"32",32,-7.80479364681713,-2386.80892510671,-371.677458296368
"33",33,-7.80479364681713,-2122.57926034159,-358.265944713646
"34",34,-7.80479364681713,-2353.92666915713,-350.998146303866
"35",35,-7.80479364681713,-2441.01980728699,-348.227309885437
"36",36,-6.81671276172216,-2753.84943835128,-337.485479639381
"37",37,-6.67408640142372,-2362.61293988918,-327.434218417308
"38",38,-6.67408640142372,-2762.02301858978,-322.087106366323
"39",39,-6.67408640142372,-2363.02719852308,-311.312857825342
"40",40,-6.61569880044905,-2391.05807786745,-304.493430949328
"41",41,-6.56461065190347,-2267.72971754064,-299.017062409704
"42",42,-6.56461065190347,-2053.6686028771,-293.790429305972
"43",43,-6.56461065190347,-2200.9146026551,-284.911972367288
"44",44,-6.56461065190347,-2699.70055810757,-286.175416747538
"45",45,-6.07956919512002,-2637.46683642728,-282.30616336135
"46",46,-6.07956919512002,-2273.68526210542,-279.179376487296
"47",47,-6.07956919512002,-2153.00460514362,-275.413734880681
"48",48,-6.06698630598035,-2561.83085503318,-270.207009051464
"49",49,-6.06698630598035,-2124.38476715729,-265.896925670281
"50",50,-6.06698630598035,-2176.1206586108,-263.192408870892
"51",51,-6.06698630598035,-2375.31757549404,-252.259121544995
"52",52,-6.06698630598035,-2920.00399122511,-243.310159335646
"53",53,-6.06698630598035,-2592.9223359618,-236.102059320601
"54",54,-6.06698630598035,-2396.86394281944,-231.363161667462
"55",55,-6.06698630598035,-3137.85287122414,-224.585186444716
"56",56,-6.06698630598035,-2348.31385847912,-222.860610953364
"57",57,-6.06698630598035,-2538.53207831592,-222.981120932407
"58",58,-6.06698630598035,-2634.06673914043,-221.171238278186
"59",59,-5.5684158112051,-2338.1789915351,-221.89738134306
"60",60,-5.34005760133539,-2822.45778462712,-221.20804684016
"61",61,-5.34005760133539,-2451.70375423526,-217.057924244487
