"","Iter","X","Y"
"1",1,5.9569916400895e-05,1.71881991123247e-05
"2",2,5.92484576840467e-05,1.48576701495604e-05
"3",3,6.00731146934434e-05,1.70951397934708e-05
"4",4,6.01899545300279e-05,1.7244817839171e-05
"5",5,5.88330058444841e-05,1.72719249929439e-05
"6",6,5.92099089522722e-05,1.61377316277619e-05
"7",7,5.93155999992348e-05,1.69853142253019e-05
"8",8,5.90194687504733e-05,1.80271050190266e-05
"9",9,5.93633520067353e-05,1.70084207930749e-05
"10",10,6.06936224489738e-05,1.55546237872301e-05
"11",1,5.91568809330333e-05,1.49283442151328e-05
"12",2,5.96820146146629e-05,1.58893759746251e-05
"13",3,5.96586852413754e-05,1.73414152007689e-05
"14",4,5.97767832965543e-05,1.78703685484764e-05
"15",5,5.96136558473451e-05,1.4985987777359e-05
"16",6,5.89981271319475e-05,1.71739202843058e-05
"17",7,5.916923471077e-05,1.60308895563792e-05
"18",8,5.88922223742701e-05,1.71586439001649e-05
"19",9,5.92645617642948e-05,1.65569992736047e-05
"20",10,5.91325037398226e-05,1.72711601584002e-05
"21",1,5.88128961889207e-05,1.82347222592174e-05
"22",2,5.89207560625867e-05,1.81148407073021e-05
"23",3,5.92711093385882e-05,1.6038703705818e-05
"24",4,5.90260081362115e-05,1.70312363313681e-05
"25",5,5.95861584276933e-05,1.65642979951852e-05
"26",6,5.91551465935462e-05,1.73116314880888e-05
"27",7,5.92650861275563e-05,1.69208507837946e-05
"28",8,6.05893392823149e-05,1.63953721317623e-05
"29",9,5.90145386755017e-05,1.72312173123691e-05
"30",10,5.90450267533166e-05,1.7280782941994e-05
"31",1,5.9556059507806e-05,1.73551835080666e-05
"32",2,5.88076290611226e-05,1.82525501578467e-05
"33",3,5.91269111848249e-05,1.55469203284648e-05
"34",4,5.93492968154585e-05,1.69445593096044e-05
"35",5,6.02105337231789e-05,1.41612922934139e-05
"36",6,5.94104005493694e-05,1.68742696244743e-05
"37",7,5.90967497285334e-05,1.5202411403777e-05
"38",8,5.88535921507331e-05,1.70782690870541e-05
"39",9,5.90102156382477e-05,1.6824437111588e-05
"40",10,6.01468402389427e-05,1.72787302202169e-05
"41",1,5.90586342827283e-05,1.70877185768558e-05
"42",2,6.01098754383581e-05,1.56007959542527e-05
"43",3,5.92862928452887e-05,1.68637815943585e-05
"44",4,6.0065361268108e-05,1.7140017691088e-05
"45",5,5.89207893663923e-05,1.81147673924778e-05
"46",6,5.91847435675198e-05,1.68510141676242e-05
"47",7,5.87775590748725e-05,1.8267821829621e-05
"48",8,5.88378819147329e-05,1.67473898665355e-05
"49",9,5.89799323122468e-05,1.77863974999004e-05
"50",10,5.90158396453757e-05,1.51602676449284e-05
"51",1,6.02037219462177e-05,1.6475991156572e-05
"52",2,5.90143271233074e-05,1.72313176014457e-05
"53",3,5.8992575370159e-05,1.74463780485456e-05
"54",4,5.99660014725362e-05,1.75313597576267e-05
"55",5,5.94966053540518e-05,1.61768692102338e-05
"56",6,5.96425598352612e-05,1.77905144565501e-05
"57",7,5.89050033187452e-05,1.67655826494615e-05
"58",8,5.96747987159699e-05,1.7223149638311e-05
"59",9,5.89441231620377e-05,1.6862478194955e-05
"60",10,5.9403808380838e-05,1.69588435977728e-05
"61",1,5.92844871025014e-05,1.55169416882091e-05
"62",2,6.05334640951857e-05,1.62630680241685e-05
"63",3,5.93159140837944e-05,1.76767987898512e-05
"64",4,5.96912882923364e-05,1.75240489329659e-05
"65",5,5.91977666084559e-05,1.80359043197055e-05
"66",6,5.9515446321438e-05,1.74268217932302e-05
"67",7,5.91950919798093e-05,1.46486000860595e-05
"68",8,5.8807528245532e-05,1.82523253134274e-05
"69",9,5.91786139871636e-05,1.74524876905605e-05
"70",10,5.899894886386e-05,1.69002296420927e-05
"71",1,5.89795093735304e-05,1.6939092933529e-05
"72",2,5.96581954743272e-05,1.72906448901509e-05
"73",3,5.90334279862772e-05,1.52397372109252e-05
"74",4,5.94183323246263e-05,1.71121119520507e-05
"75",5,5.89607410047415e-05,1.74009283986308e-05
"76",6,6.06493928352409e-05,1.79967625130622e-05
"77",7,5.93950744112538e-05,1.67116475759323e-05
"78",8,5.98396582036162e-05,1.71164871081679e-05
"79",9,5.92680901226333e-05,1.59890647028692e-05
"80",10,6.01038299493008e-05,1.73165087919466e-05
"81",1,5.9307387003365e-05,1.54281482713238e-05
"82",2,5.9223527154387e-05,1.71770391878609e-05
"83",3,5.96262494031085e-05,1.73158920191065e-05
"84",4,5.90256952235889e-05,1.70310504409985e-05
"85",5,5.87981603398198e-05,1.72303787300566e-05
"86",6,5.99479233894259e-05,1.41481484281302e-05
"87",7,5.89221364815312e-05,1.80089337194771e-05
"88",8,5.90056784797315e-05,1.80481719805371e-05
"89",9,6.01472915429414e-05,1.72789112513052e-05
"90",10,5.90274140611982e-05,1.80503750406258e-05
"91",1,5.88725305253747e-05,1.72351868651846e-05
"92",2,5.94979023831485e-05,1.74286599812923e-05
"93",3,5.93246220751087e-05,1.70424302959508e-05
"94",4,5.90442861860644e-05,1.49538329260264e-05
"95",5,5.92030995248091e-05,1.50920254044799e-05
"96",6,5.96572868994718e-05,1.63481790917371e-05
"97",7,5.92690099731183e-05,1.77225502316956e-05
"98",8,5.88330936598929e-05,1.6765228659083e-05
"99",9,5.93804708620877e-05,1.7110297859263e-05
"100",10,5.96432253921419e-05,1.71534989014624e-05
